id,file_id,question,answer_format,answer,evidence_page_number,language
q_0000,j_0030,日本・米国・ドイツの企業比較において、データ収集について、各国で既に導入している企業の割合を分母にし、データ収集を使って製品やサービスを既に開発・提供している企業の割合を分子にした比を求めると、最も大きい国はどこか。,string,ドイツ,"[11, 12]",ja
q_0001,j_0057,学部ごとのクラス数が示されている現状に対して、将来教室へ変更できるように、一般的な教室2室分の規模で計画された多目的なスペースを教室として使うと仮定する。この場合、クラスの総数は現状から何％増えるか。,number,5%,"[1, 3]",ja
q_0002,j_0060,研究成果の発表実績について、審査を経た学術論文の本数に、審査を伴わない誌上での発表本数と、学会などでの口頭による発表本数を加えた合計はいくつか。,number,43,"[14, 15]",ja
q_0003,j_0158,小学生向けのプログラミング教室を起点に、中学生や高校生がアプリ開発を学び、将来的にIT企業で働くことや起業につながる流れとして示されている取組では、技能面の成果の言い回しが、取組の説明箇所と地方創生推進交付金の事業をまとめた一覧表で異なっている。この2つの言い回しを、説明箇所→一覧表の順に答えてください。,ordered_list,"['ITリテラシーの向上', '実践的なITスキルの習得']","[13, 21]",ja
q_0004,j_0030,業種ごとに、AIを使って先を見通すデータ分析を行っている割合が示されている一覧で最も高い業種について、データ活用によって生じた変化を業種別に並べた一覧では、具体的な変化の項目の中で最も割合が小さいものは何か。,string,在庫管理の向上,"[3, 9]",ja
q_0005,j_0057,本文では、各整備テーマの説明において、具体的な工夫が丸数字の注記で示されている。4つの整備テーマを比べたとき、この注記が最も多いテーマ名は何か。,string,学習・生活空間の充実,"[2, 3, 4]",ja
q_0006,j_0158,豊沢工業団地の整備で出る土を、別の事業の工事に回して使う計画が書かれている事業名を、資料に記載されている範囲で全て挙げてください。,unordered_list,"['袋井消防庁舎・袋井市防災センター整備事業', '袋井市静岡モデル防潮堤整備事業']","[14, 15]",ja
q_0007,j_0030,データ活用の効果を5段階で尋ねた結果における最上位評価の割合を、各業務領域でデータを使っている企業の割合から差し引いたとき、その差が最も大きい業務領域はどれか。,string,経営企画・組織改革,[8],ja
q_0008,j_0057,この学校について、建物全体の床面積を在籍している児童生徒の総人数で1人あたりに換算すると、およそ何㎡/人になるか。小数第2位を四捨五入して小数第1位まで答えよ。,number,38.4㎡/人,[1],ja
q_0009,j_0060,室内チャンバー実験で得たSOAトレーサーの収率を示す図について、本文で優先候補とは別に補助的な候補として整理されている成分のうち、フタル酸が含まれるナフタレン由来の区画に示されている略称をすべて挙げてください。,unordered_list,"['4NPhA', '4N1NPT', '24DN1NPT']",[5],ja
q_0010,j_0158,タブレットを活用した多言語対応のサービスでは、説明文に外出先での健康相談や観光案内の窓口対応が例として挙げられている。利用シーン写真にある、それらとは別の相談場面で使う利用方法として本文に挙げられている機能名は何か。,string,テレビ電話,[13],ja
q_0011,j_0030,業種と企業規模ごとに、4種類のデータ分析方法の実施率がまとめられている表で、企業規模の大きい区分と小さい区分の実施率の差が最も大きい方法は何か。,string,統計的な分析（相関分析、分散分析など）,[3],ja
q_0012,j_0057,知的障害に関する学部別の人数を示す表で、括弧内で示された人数が各学部の在籍者数に占める比率が最も高い学部はどれですか。,string,小学部,[1],ja
q_0013,j_0060,日本の有機エアロゾル排出量を、従来の見積もりと本研究で算出した見積もりで比較した積み上げ棒グラフには、凝縮性粒子をフィルタで捕集される粒子で割った比がそれぞれ注記されている。この比は、従来の見積もりの方が本研究の見積もりより何倍大きいか（小数第1位まで）。,number,12.2倍,[6],ja
q_0014,j_0158,消防・防災の合同施設の計画で、各棟ごとの階数と地震への備え方がまとめて示されている部分がある。その中で、階数が最も多い棟に当てはまり、かつ揺れを切り離す方式ではなく構造で揺れに耐える方式とされている棟名をすべて挙げよ。,unordered_list,"['総合訓練塔', '消防訓練塔']",[14],ja
q_0015,v_0104,"Một khách hàng dùng thẻ Woori VV Hype Point thanh toán lần lượt tại MCC 5411, 5811, 3009, 7011. Trong số này, những giao dịch nào KHÔNG thuộc nhóm Du lịch/Travel?",unordered_list,"[5411, 5811, 3009]","[1, 2, 3, 15]",vi
